id,predicition
26497,0.0
26498,0.0
26499,0.0
26500,0.0
26501,0.0
26502,0.0
26503,0.0
26504,0.0
26505,0.0
26506,0.0
26507,0.0
26508,0.0
26509,0.0
26510,0.0
26511,0.0
26512,0.0
26513,0.0
26514,0.0
26515,0.0
26516,0.0
26517,0.0
26518,0.0
26519,0.0
26520,0.0
26521,0.0
26522,-0.8079624788605985
26523,-0.49850764325830227
26524,-0.4233227198150129
26525,0.03925071275598888
26526,0.6226136564469117
26527,0.925863813141221
26528,1.773565796268012
26529,4.0466387732369755
26530,6.083564724223618
26531,7.670894807015274
26532,9.03376862815682
26533,9.001132651838507
26534,9.88200956839496
26535,10.948999933162652
26536,9.764186742081328
26537,10.691609584325295
26538,14.646027778477835
26539,15.91450111188468
26540,16.200250626225692
26541,16.753863872406974
26542,17.55064053622321
26543,19.89309608328065
26544,19.64314849428886
26545,23.10416959194782
26546,24.469502897786946
26547,24.966609150426052
26548,24.875477827112835
26549,22.080047436052382
26550,22.309292832381914
26551,20.42991248136197
26552,21.29526193411046
26553,21.113044882569323
26554,19.630024203960442
26555,22.405048798596845
26556,22.617278135567023
26557,17.606429180121832
26558,16.74715941141347
26559,16.915267540323093
26560,17.55195334691795
26561,18.208965701185264
26562,18.087757129687258
26563,16.812202512189906
26564,15.227491922758718
26565,13.783626788942366
26566,13.520094944987562
26567,12.12509860339521
26568,10.781876524393391
26569,9.892515683266323
26570,8.015309903710442
26571,4.673861589085191
26572,3.0513730920631827
26573,2.1365108489114064
26574,1.1581274233232992
26575,0.4959166543112983
26576,-0.002569547246104682
26577,-0.8094685618889056
26578,-0.6301976011465537
26579,-0.3494760982779225
26580,-0.041738570742454115
26581,-0.23319362340195013
26582,0.0
26583,0.0
26584,0.0
26585,0.0
26586,0.0
26587,0.0
26588,0.0
26589,0.0
26590,0.0
26591,0.0
26592,0.0
26593,0.0
26594,0.0
26595,0.0
26596,0.0
26597,0.0
26598,0.0
26599,0.0
26600,0.0
26601,0.0
26602,0.0
26603,0.0
26604,0.0
26605,0.0
26606,0.0
26607,0.0
26608,0.0
26609,0.0
26610,0.0
26611,0.0
26612,0.0
26613,0.0
26614,0.0
26615,0.0
26616,0.0
26617,0.0
26618,1.1805245331814074
26619,-0.014503922801698587
26620,-0.415343445521924
26621,-0.9432176277895178
26622,-0.8268431534555285
26623,-0.3258269136049118
26624,-0.8259365640237148
26625,-0.29373794994263025
26626,-0.806232555771391
26627,-1.0275114778001744
26628,-0.2976386128005499
26629,0.2787626852399226
26630,0.7493928199118771
26631,1.8047738095840422
26632,3.1902864871141614
26633,3.338495319465702
26634,5.224044872677031
26635,6.629200988817091
26636,9.110796117497685
26637,9.73636820330823
26638,9.987404038963735
26639,10.311213101343107
26640,12.248768683910997
26641,13.837952854925293
26642,17.03169274165954
26643,18.90146951611019
26644,18.142812542514672
26645,17.09542895018646
26646,16.304974104347977
26647,16.8374805666953
26648,17.625263488038094
26649,15.532898492704843
26650,15.525139207431174
26651,16.618902133178338
26652,16.522748962821954
